Name,StartingLetter,Ethnicity,Region,Religion,Gender,NumerologyConstraints
Atin,A,English,Asia,Sikhism,M,2
Aad,A,Asian,Asia,Buddhism,M,3
Asin,A,African,Asia,Jainism,M,4
Asini,A,German,Asia,Zoroastrianism,M,1
Aswini,A,American,Asia,Hinduism,F,2
Abhi,A,Irish,Asia,Islam,F,3
Ashok,A,English,Asia,Christianity,F,4
Ani,A,Asian,Asia,Sikhism,F,1
Adesh,A,African,Asia,Buddhism,F,2
Abacus,A,German,Asia,Jainism,F,3
Baachman,B,American,Africa,Hinduism,M,1
Baadesh,B,Irish,Africa,Islam,M,2
BAadi,B,English,Africa,Christianity,M,3
Bafreen,B,Asian,Africa,Sikhism,M,4
Bakar,B,African,Africa,Buddhism,M,5
Bikash,B,German,Africa,Jainism,M,6
BAalap,B,American,Africa,Zoroastrianism,M,7
Bashika,B,Irish,Africa,Hinduism,F,8
Babha,B,English,Africa,Islam,F,9
Bbhati,B,Asian,Africa,Christianity,F,1
Babhaya,B,African,Africa,Sikhism,F,2
Bbhidha,B,German,Africa,Buddhism,F,3
bhiddhya,B,American,Africa,Jainism,F,4
Bhijna,B,Irish,Africa,Zoroastrianism,F,5
Bdarsh,B,English,Africa,Hinduism,M,6
Btish,B,Asian,Africa,Islam,M,7
Bnkit,B,African,Africa,Christianity,M,8
Bdi,B,German,Africa,Sikhism,M,9
Babhi,B,American,Africa,Buddhism,M,1
Bshok,B,Irish,Africa,Jainism,M,2
Bni,B,English,Africa,Zoroastrianism,M,3
Bdesh,B,Asian,Africa,Hinduism,F,4
Btin,B,African,Africa,Islam,F,5
Bdarsh,B,German,Africa,Christianity,F,6
Btif,B,American,Africa,Sikhism,F,7
Bafrid,B,Irish,Africa,Buddhism,F,8
Banwesh,B,English,Africa,Jainism,F,9
Badik,B,Asian,Africa,Zoroastrianism,F,1
Badin,B,African,Africa,Hinduism,M,2
Bani,B,German,Africa,Islam,M,3
badesh,B,American,Africa,Christianity,M,4
Btin,B,Irish,Africa,Sikhism,M,5
Bad,B,English,Africa,Buddhism,M,6
Bin,B,Asian,Africa,Jainism,M,7
Bisini,B,African,Africa,Zoroastrianism,M,8
Baswini,B,German,Africa,Hinduism,F,9
Babhi,B,American,Africa,Islam,F,3
Bshok,B,Irish,Africa,Christianity,F,4
Bni,B,English,Africa,Sikhism,F,1
Bdesh,B,Asian,Africa,Buddhism,F,2
Bbacus,B,African,Africa,Jainism,F,3
Cameron,C,German,Africa,Hinduism,M,1
Carmen,C,American,Africa,Islam,M,2
Carmine,C,Irish,Africa,Christianity,M,3
Carson,C,English,Africa,Sikhism,M,4
Cary,C,Asian,Africa,Buddhism,M,5
Casey,C,African,Africa,Jainism,M,6
Cassidy,C,German,Africa,Zoroastrianism,M,7
Cecil,C,American,Africa,Hinduism,F,8
Chandler,C,Irish,Africa,Islam,F,9
Christian,C,English,Africa,Christianity,F,1
Cody,C,Asian,Africa,Sikhism,F,2
Connor,C,African,Africa,Buddhism,F,3
Corey,C,German,Africa,Jainism,F,4
Cullen,C,American,Africa,Zoroastrianism,F,5
Cameron,C,Irish,Africa,Hinduism,M,6
Carmen,C,English,Africa,Islam,M,7
Carmine,C,Asian,Africa,Christianity,M,8
Carson,C,African,Africa,Sikhism,M,9
Cary,C,German,Africa,Buddhism,M,1
Casey,C,American,Africa,Jainism,M,2
Cassidy,C,Irish,Africa,Zoroastrianism,M,3
Cecil,C,English,Africa,Hinduism,F,4
Chandler,C,Asian,Africa,Islam,F,5
Christian,C,African,Africa,Christianity,F,6
Cody,C,German,Africa,Sikhism,F,7
Connor,C,American,Africa,Buddhism,F,8
Corey,C,Irish,Africa,Jainism,F,9
Cullen,C,English,Africa,Zoroastrianism,F,1
Cameron,C,Asian,Africa,Hinduism,M,2
Carmen,C,African,Africa,Islam,M,3
Carmine,C,German,Africa,Christianity,M,4
Carson,C,American,Africa,Sikhism,M,5
Cary,C,Irish,Africa,Buddhism,M,6
Casey,C,English,Africa,Jainism,M,7
Cassidy,C,Asian,Africa,Zoroastrianism,M,8
Cecil,C,African,Africa,Hinduism,F,9
Chandler,C,German,Africa,Islam,F,3
Christian,C,American,Africa,Christianity,F,4
Cody,C,Irish,Africa,Sikhism,F,1
Connor,C,English,Africa,Buddhism,F,2
Corey,C,Asian,Africa,Jainism,F,3
Qabil,Q,African,Arab States,Islam,M,1
Qadar,Q,German,Arab States,Islam,M,2
Qadim,Q,American,Arab States,Islam,M,3
Qadir,Q,Irish,Arab States,Islam,M,4
Qamar,Q,English,Arab States,Islam,M,5
Qasim,Q,Asian,Arab States,Islam,M,6
Qimat,Q,African,Arab States,Islam,M,7
Qing-Nan,Q,German,Arab States,Islam,M,8
Quaashie,Q,American,Arab States,Islam,M,9
Quaddus,Q,Irish,Arab States,Islam,M,3
Quade,Q,English,Arab States,Islam,M,4
Quadrees,Q,Asian,Arab States,Islam,M,1
Quadrhys,Q,African,Arab States,Islam,M,2
Eabha,E,German,Europe,Christianity,F,1
Eachna,E,American,Europe,Christianity,F,2
Eagle,E,Irish,Europe,Christianity,F,3
Earhart,E,English,Europe,Christianity,F,4
Earla,E,Asian,Europe,Christianity,F,5
Early,E,African,Europe,Christianity,F,6
Eartha,E,German,Europe,Christianity,F,7
East,E,American,Europe,Christianity,F,8
Easter,E,Irish,Europe,Christianity,F,9
Easton,E,English,Europe,Christianity,F,3
Zaahid,Z,Asian,North America,Islam,M,1
Zaahir,Z,African,North America,Islam,M,2
Zaal,Z,German,North America,Islam,M,1
Zaarib,Z,American,North America,Islam,M,2
Zabel,Z,Irish,North America,Islam,M,3
Zabir,Z,English,North America,Islam,M,4
Zacchaeus,Z,Asian,North America,Islam,M,5
Zachariah,Z,African,North America,Islam,M,6
Rabea,R,German,Europe,Islam,M,1
Rabia,R,American,Arab States,Buddhism,M,1
Rachael,R,Irish,Asia,Buddhism,M,2
Rachaela,R,English,South/Latin America,Buddhism,M,3
Rache,R,Asian,Africa,Buddhism,M,4
Racheal,R,African,North America,Buddhism,M,5
Rachel,R,German,Europe,Buddhism,M,6
Rachele,R,American,Arab States,Buddhism,M,7
Rachelle,R,Irish,Asia,Buddhism,M,8
Rachelyn,R,English,South/Latin America,Buddhism,M,9
Rachyl,R,Asian,Africa,Buddhism,M,3
Racquel,R,African,North America,Buddhism,M,8
Radha,R,German,South/Latin America,Buddhism,M,9
Radhika,R,American,Africa,Buddhism,M,3
Radka,R,Irish,North America,Buddhism,M,6
Gracie,G,English,Asia,Hinduism,F,1
Graciela,G,Asian,South/Latin America,Islam,F,2
Greta,G,African,Africa,Christianity,F,3
Gretchen,G,German,North America,Sikhism,F,4
Guadalupe,G,American,South/Latin America,Buddhism,F,5
Gwendolyn,G,Irish,Africa,Jainism,F,6
Ubaid,U,English,Asia,Hinduism,F,4
Ubaida,U,Asian,South/Latin America,Islam,F,5
Uberto,U,African,Africa,Christianity,F,6
Uchadev,U,German,North America,Sikhism,F,7
Uchith,U,American,South/Latin America,Buddhism,F,8
ifteshyam akhtar,I,Irish,Africa,Christianity,M,1
indra wati,I,English,Asia,Sikhism,M,2
isha batra,I,Asian,South/Latin America,Buddhism,M,3
imrana khatun,I,African,Africa,Jainism,M,4
irfan mohmmad,I,German,North America,Hinduism,M,5
injum,I,American,South/Latin America,Islam,M,6
omendra,O,Irish,South/Latin America,Christianity,M,1
omprakesh,O,English,Africa,Sikhism,M,2
omprakash chamoli,O,Asian,Asia,Buddhism,M,3
omprkesh,O,African,South/Latin America,Jainism,M,4
om prakash mishra,O,German,Africa,Hinduism,M,5
om pal,O,American,North America,Islam,M,6
wali hadar,W,Irish,South/Latin America,Hinduism,M,5
waseem,W,English,Asia,Buddhism,F,3
wasim,W,Asian,South/Latin America,Christianity,F,4
warish,W,African,Africa,Sikhism,F,5
wiresh,W,German,North America,Buddhism,F,6
nawab hussain,N,American,Africa,Islam,F,5
nwed,N,Irish,Asia,Hinduism,M,5
naveen bansal,N,English,Africa,Buddhism,M,6
nandu,N,Asian,Asia,Christianity,M,5
nijam,N,African,Africa,Sikhism,M,3
nand lal,N,German,Asia,Buddhism,F,4
naeem khan,N,American,Asia,Islam,F,5
not available,N,Irish,Asia,Hinduism,F,6
narayan dutt,N,English,Asia,Buddhism,F,5
nisha,N,Asian,Asia,Christianity,F,5
nittin rana,N,African,Asia,Sikhism,M,6
naresh kumar,N,German,Asia,Buddhism,M,5
naresh paswan,N,American,Asia,Islam,M,3
netram yadav,N,Irish,Asia,Hinduism,M,4
nazir ali,N,English,Asia,Buddhism,F,5
neeraj bhatt,N,Asian,Asia,Christianity,F,6
Xavier,X,African,Asia,Sikhism,F,5
Xander,X,German,Asia,Buddhism,F,3
Xzavier,X,American,Asia,Sikhism,F,1
Xavi,X,Irish,Asia,Buddhism,F,2
Xayden,X,English,Asia,Islam,F,1
Xaiden,X,Asian,Asia,Hinduism,F,2
Xavian,X,African,Asia,Buddhism,F,3
Xavion,X,German,Asia,Christianity,M,4
Xian,X,American,Asia,Sikhism,M,5
Xion,X,Irish,Asia,Buddhism,M,3
Xavien,X,English,Asia,Sikhism,M,1
Xzander,X,Asian,Africa,Buddhism,F,2
Xiao,X,African,Africa,Islam,F,1
Xiomara,X,German,Africa,Hinduism,F,2
Xane,X,American,Africa,Buddhism,F,3
Xzavien,X,Irish,Africa,Christianity,M,4
Xaiver,X,English,Africa,Sikhism,M,5
yash mittal,Y,Asian,Asia,Sikhism,F,2
yogita,Y,African,Asia,Buddhism,F,1
yogesh,Y,German,Asia,Islam,F,2
yognder,Y,American,Asia,Hinduism,M,3
yogesh,Y,Irish,Africa,Buddhism,M,4
yuvraj kumar,Y,English,Africa,Christianity,M,5
yogesh rawat,Y,Asian,Africa,Sikhism,M,3
yasib,Y,African,Africa,Buddhism,F,1
yameen,Y,German,Africa,Christianity,F,2
yogesh,Y,American,Africa,Sikhism,M,4
yogesh shukla,Y,Irish,Asia,Buddhism,M,5
yogesh kumar,Y,English,Asia,Christianity,F,3
yogesh budhiraja,Y,African,Asia,Sikhism,F,1
yash,Y,African,Asia,Sikhism,F,2
